Matricula;Cod;Data Inicio;Hora Inicio;Data Fim;Hora Fim
029904;0;01/01/2025;00:00;30/01/2025;24:00
019636;0;01/01/2025;00:00;30/01/2025;24:00
028792;0;01/01/2025;00:00;30/01/2025;24:00
030959;0;01/01/2025;00:00;30/01/2025;24:00
017749;0;01/01/2025;00:00;30/01/2025;24:00
030596;0;01/01/2025;00:00;30/01/2025;24:00
011830;0;01/01/2025;00:00;30/01/2025;24:00
032212;0;01/01/2025;00:00;30/01/2025;24:00
030981;0;01/01/2025;00:00;30/01/2025;24:00
031793;0;01/01/2025;00:00;30/01/2025;24:00
017781;0;01/01/2025;00:00;30/01/2025;24:00
028541;0;01/01/2025;00:00;30/01/2025;24:00
019733;0;01/01/2025;00:00;30/01/2025;24:00
031789;0;01/01/2025;00:00;30/01/2025;24:00
020995;0;01/01/2025;00:00;30/01/2025;24:00
028549;0;01/01/2025;00:00;30/01/2025;24:00
032243;0;01/01/2025;00:00;30/01/2025;24:00
019989;0;01/01/2025;00:00;30/01/2025;24:00
028520;0;01/01/2025;00:00;30/01/2025;24:00
019601;0;01/01/2025;00:00;30/01/2025;24:00
028739;0;01/01/2025;00:00;30/01/2025;24:00
032545;0;01/01/2025;00:00;30/01/2025;24:00
029892;0;01/01/2025;00:00;30/01/2025;24:00
019946;0;01/01/2025;00:00;30/01/2025;24:00
013239;0;01/01/2025;00:00;30/01/2025;24:00
028586;0;01/01/2025;00:00;30/01/2025;24:00
031512;0;01/01/2025;00:00;30/01/2025;24:00
020316;0;01/01/2025;00:00;30/01/2025;24:00
033468;0;01/01/2025;00:00;30/01/2025;24:00
031767;0;01/01/2025;00:00;30/01/2025;24:00
032892;0;01/01/2025;00:00;30/01/2025;24:00
030977;0;01/01/2025;00:00;30/01/2025;24:00
022831;0;01/01/2025;00:00;30/01/2025;24:00
033199;0;01/01/2025;00:00;30/01/2025;24:00
030992;0;01/01/2025;00:00;30/01/2025;24:00
028536;0;01/01/2025;00:00;30/01/2025;24:00
030968;0;01/01/2025;00:00;30/01/2025;24:00
031045;0;01/01/2025;00:00;30/01/2025;24:00
019652;0;01/01/2025;00:00;30/01/2025;24:00
033472;0;01/01/2025;00:00;30/01/2025;24:00
033471;0;01/01/2025;00:00;30/01/2025;24:00
